case_label,intensity_w_cm2,harmonic_order,nearest_harmonic_order,mean_intensity,normalized_intensity,display_intensity,display_scale,display_floor,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,spectrum_model,frequency_grid,driver_sampling,normalization_scope,claim_level,mechanism,processing
BSV - 1e13 W/cm^2,10000000000000.0,0.5199873633621785,1.0,7.070603932199664e-08,2.1432696285754277e-08,0.01,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.5599863913131155,1.0,2.9060592439339645e-08,8.80896253854635e-09,0.01,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.5999854192640521,1.0,6.165882296391965e-07,1.8690268025119857e-07,0.018690268025119857,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.6399844472149889,1.0,1.7423486489123516e-06,5.281476628321799e-07,0.05281476628321799,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.6799834751659258,1.0,1.6031734995124562e-07,4.859603371636008e-08,0.01,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.7199825031168626,1.0,9.500636299439215e-06,2.879870719387695e-06,0.2879870719387695,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.7599815310677994,1.0,1.5141171879867242e-06,4.589652332720053e-07,0.04589652332720053,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.7999805590187362,1.0,9.889064441612587e-05,2.9976126050861595e-05,2.9976126050861596,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.839979586969673,1.0,0.0006390089196255358,0.0001936989291091765,19.36989291091765,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
BSV - 1e13 W/cm^2,10000000000000.0,0.8799786149206099,1.0,0.0008927767999273034,0.0002706220598309871,27.06220598309871,100000.0,0.01,15.126023203404115,18.613676776582036,22.00238858521466,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration,shared_normalized_raw_spectrum_for_log_display
