case_label,intensity_w_cm2,mean_peak_field_amplitude_au,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,intensity_g2,spectrum_model,frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,driver_sampling,normalization_scope,claim_level,mechanism
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.47998833541124175,2.040850564859248e-08,5.885504097378473e-08,6.186307526297901e-09,0.01,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5199873633621785,7.070603932199664e-08,3.1705444838604414e-07,2.1432696285754277e-08,0.01,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5599863913131155,2.9060592439339645e-08,1.1333206653746112e-07,8.80896253854635e-09,0.01,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5999854192640521,6.165882296391965e-07,1.4259294570911685e-06,1.8690268025119857e-07,0.018690268025119857,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.6399844472149889,1.7423486489123516e-06,2.933582981200404e-06,5.281476628321799e-07,0.05281476628321799,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.6799834751659258,1.6031734995124562e-07,8.526390076262345e-07,4.859603371636008e-08,0.01,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7199825031168626,9.500636299439215e-06,3.3659062449970905e-05,2.879870719387695e-06,0.2879870719387695,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7599815310677994,1.5141171879867242e-06,2.0567296242117847e-05,4.589652332720053e-07,0.04589652332720053,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7999805590187362,9.889064441612587e-05,0.00021209107853822475,2.9976126050861595e-05,2.9976126050861596,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.839979586969673,0.0006390089196255358,0.0011239081873471552,0.0001936989291091765,19.36989291091765,15.126023203404115,18.613676776582036,22.00238858521466,2.9907608109560786,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.11079987270298704,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
