case_label,intensity_w_cm2,mean_peak_field_amplitude_au,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,mean_cutoff_order,cutoff_order_p95,cutoff_order_p99,raw_intensity_g2,effective_intensity_g2,tail_capped_sample_fraction,bsv_tail_quantile,spectrum_model,frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,driver_sampling,normalization_scope,claim_level,mechanism
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.43998930746030496,1.4390939296451764e-08,2.939451509114183e-08,5.2726422425851195e-09,0.01,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.47998833541124175,2.0251983121783475e-08,2.691553090540848e-08,7.420048094453743e-09,0.01,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5199873633621785,6.900160645853e-08,1.2264608590756146e-07,2.5281239641472414e-08,0.01,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5599863913131155,2.8367740413030238e-08,5.412957914403322e-08,1.0393549951622063e-08,0.01,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.5999854192640521,6.080368253704234e-07,9.702793689102351e-07,2.2277633061004635e-07,0.022277633061004637,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.6399844472149889,1.7315670307241783e-06,2.766816196003811e-06,6.344223461713211e-07,0.06344223461713211,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.6799834751659258,1.5003908658640084e-07,2.1847600033456364e-07,5.4972257868490763e-08,0.01,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7199825031168626,9.311641330278307e-06,1.5319849887615152e-05,3.4116573223217097e-06,0.34116573223217095,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7599815310677994,1.3396225043158835e-06,2.5358862437667866e-06,4.908192620279578e-07,0.049081926202795785,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
BSV - 1e13 W/cm^2,10000000000000.0,0.016880323915389028,0.7999805590187362,9.753855531419147e-05,0.00014314733746001888,3.573678523938558e-05,3.5736785239385576,15.124284290526582,18.613676776582036,22.00238858521466,2.9907608109560786,2.9621928662169585,0.00086,0.999,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,13,1.6079090899617815e-08,0.07855271446643883,single_mode_bsv_random_phase_gamma_intensity,shared_fig_iv2_intensity_cases,hhg_intensity_prediction,quantum_light_hhg_bsv_threshold_tdse_dipole_acceleration
