driver_state,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,display_offset,mean_cutoff_order,normalized_intensity_cv,claim_level,mechanism
coherent,1.0,7.872581710339061e-08,3.337919334204767e-08,0.28347945052240825,0.28347945052240825,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,3.0,1.75554512219186e-07,7.443387977462677e-08,0.6321445555181274,0.6321445555181274,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,5.0,2.2526802190521815e-07,9.551205860562856e-08,0.8111551892322088,0.8111551892322088,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,7.0,2.507917888252274e-07,1.0633395645549535e-07,0.903062313069919,0.903062313069919,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,9.0,2.6389612770415215e-07,1.118901040720379e-07,0.950249003809227,0.950249003809227,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,11.0,2.7062411961819565e-07,1.1474272537424435e-07,0.9744754586252814,0.9744754586252814,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,13.0,2.7407838584358165e-07,1.1620730998491335e-07,0.9869137352613249,0.9869137352613249,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,15.0,2.758518652573898e-07,1.1695925279630229e-07,0.9932997594175288,0.9932997594175288,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,17.0,2.7676239994869465e-07,1.1734531310820373e-07,0.9965784535418933,0.9965784535418933,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,19.0,2.7722988404667935e-07,1.1754352308131183e-07,0.9982617912333983,0.9982617912333983,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,21.0,2.774698983854602e-07,1.176452874746698e-07,0.9991260456213298,0.9991260456213298,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,23.0,2.775931258558031e-07,1.1769753505632586e-07,0.9995697686192911,0.9995697686192911,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,25.0,2.776563929486125e-07,1.1772435985917793e-07,0.9997975836025538,0.9997975836025538,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,27.0,2.776888753571339e-07,1.1773813217217583e-07,0.999914547714939,0.999914547714939,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,29.0,2.7770552688707107e-07,1.1774525553094595e-07,0.9999745072902172,0.9999745072902172,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,31.0,2.7771260653395246e-07,1.177517206936248e-07,1.0,1.0,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,33.0,2.776968966958551e-07,1.1778923586783301e-07,0.9999434313109029,0.9999434313109029,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,35.0,2.775734676046965e-07,1.1799003573122382e-07,0.9994989823076722,0.9994989823076722,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,37.0,2.7705784121197775e-07,1.1869824335946923e-07,0.9976422916836702,0.9976422916836702,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,39.0,2.755458513694015e-07,1.2038241066742118e-07,0.9921978508948743,0.9921978508948743,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,41.0,2.7229327224081853e-07,1.230900419332313e-07,0.9804858181961165,0.9804858181961165,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,43.0,2.6673632021491323e-07,1.2608752404498966e-07,0.9604760962923832,0.9604760962923832,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,45.0,2.5893494835043876e-07,1.2812128358614318e-07,0.9323845668445808,0.9323845668445808,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,47.0,2.494850038843013e-07,1.282985473204254e-07,0.8983567832877615,0.8983567832877615,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,49.0,2.391969982155468e-07,1.2654354194289058e-07,0.8613112713927272,0.8613112713927272,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,51.0,2.2873511153049498e-07,1.2339961536449425e-07,0.8236396409412923,0.8236396409412923,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,53.0,2.1847683121008768e-07,1.1950119583124645e-07,0.7867011654128032,0.7867011654128032,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,55.0,2.0858433778570145e-07,1.1530437269166921e-07,0.7510798317331714,0.7510798317331714,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,57.0,1.9911344564114906e-07,1.1108750387012132e-07,0.7169766188370924,0.7169766188370924,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,59.0,1.9006925324669654e-07,1.0697387267283632e-07,0.6844098855248011,0.6844098855248011,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,61.0,1.8143687179891273e-07,1.0298933168339963e-07,0.6533260195256232,0.6533260195256232,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,63.0,1.731995781651177e-07,9.914905648163178e-08,0.6236648034339153,0.6236648034339153,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,65.0,1.6533917041486793e-07,9.544827812520705e-08,0.5953606949227707,0.5953606949227707,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,67.0,1.578382697709087e-07,9.188216163520865e-08,0.568351115712177,0.568351115712177,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
coherent,69.0,1.5068030510618097e-07,8.844602497255394e-08,0.5425763957451429,0.5425763957451429,1.0,41.28939862737793,0.14006282952053878,hhg_intensity_prediction,quantum_light_hhg_spectra_proxy
