driver_state,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,display_offset,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism
coherent,1.0399822741763172,32.09044913312426,4.703980241308677,0.5299355219361118,0.5299355219361118,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.0799815924138678,0.005671501819683591,0.0008343291105771812,9.365809323850431e-05,9.365809323850431e-05,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.1199809106514185,0.013507966328795515,0.0021130894514538954,0.00022306796508362716,0.00022306796508362716,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.1599802288889691,0.03649682031426319,0.005595035011315762,0.0006027014904656947,0.0006027014904656947,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.1999795471265196,0.014706429336780558,0.002205181834796452,0.00024285915332854666,0.00024285915332854666,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.2399788653640704,7.580317492390917e-08,1.3183918074397946e-07,1.2517990914078941e-09,1.2517990914078941e-09,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.279978183601621,0.003603817885015059,0.0005730065100321937,5.951275732962036e-05,5.951275732962036e-05,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.3199775018391717,0.0009389822783514939,0.00014332983515474436,1.5506173244964897e-05,1.5506173244964897e-05,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.3599768200767224,0.0006448411448350093,0.000104187782357046,1.064878298326113e-05,1.064878298326113e-05,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,1.3999761383142728,0.0014798392965403309,0.00023097922436768155,2.4437782305271178e-05,2.4437782305271178e-05,1.0,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
