driver_state,harmonic_order,mean_intensity,raw_peak_intensity,local_background_intensity,normalized_intensity,display_intensity,display_offset,window_half_width,background_inner_width,background_outer_width,display_min_normalized,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,raw_frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism,processing
coherent,25.0,0.0032152836832085676,0.003216321475550012,1.0377923414441973e-06,5.3096578043060535e-05,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,27.0,0.0005190816339712538,0.0005192051019821283,1.234680108745501e-07,8.572014541923767e-06,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,29.0,5.32599982376417e-05,5.327646267951955e-05,1.6464441877849484e-08,8.795253954625217e-07,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,31.0,2.781291547455619e-06,2.78306149066275e-06,1.7699432071309425e-09,4.592971515428251e-08,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,33.0,2.040543003874116e-07,2.0461415858676018e-07,5.59858199348576e-10,3.3697135783460207e-09,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,35.0,2.6068214341946494e-08,2.638949152768774e-08,3.212771857412453e-10,4.304854916780313e-10,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,37.0,1.2984938728153974e-08,1.3242224355745575e-08,2.5728562759160023e-10,2.14430787604959e-10,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,39.0,7.272397142392034e-09,7.468350129521287e-09,1.9595298712925302e-10,1.2009497154099205e-10,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,41.0,3.4905489154847716e-09,3.6300049383318213e-09,1.3945602284704954e-10,5.764225529213907e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
coherent,43.0,1.904478919165456e-09,2.002265435268169e-09,9.778651610271297e-11,3.1450199586097515e-11,nan,1.0,0.35,0.55,0.95,0.003,20.081091617933723,0.14006282952053878,tdse_dipole_acceleration,odd_harmonic_window_yield_grid,raw_fft_harmonic_order_grid,17,5.345461253579595e-05,0.10901653580938014,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,odd_harmonic_peak_minus_local_background
