state,harmonic_order,intensity
Coherent state,0.5000117128283593,4.380716278538045
Coherent state,0.6000140553940811,0.1574957961064207
Coherent state,0.7000163979596782,38.97194825655434
Coherent state,0.8000187405253999,0.15958425877873056
Coherent state,0.9000210830909969,3358.357280614674
Coherent state,1.0000234256567186,2467410.6341743106
Coherent state,1.1000257682224406,3392.7796616857436
Coherent state,1.2000281107880375,0.1770983153589907
Coherent state,1.3000304533537592,41.253616601303264
Coherent state,1.4000327959193564,0.18143144429092395
Coherent state,1.500035138485078,5.334692705713255
Coherent state,1.6000374810507998,0.18244293330952122
Coherent state,1.700039823616397,1.4710394091738812
Coherent state,1.8000421661821187,0.1845621040604775
Coherent state,1.9000445087477158,0.6387872993460615
Coherent state,2.0000468513134373,0.18255585994897716
Coherent state,2.1000491938790344,0.37541124035421614
Coherent state,2.2000515364447564,0.1894350404711054
Coherent state,2.300053879010478,0.28641653439554543
Coherent state,2.400056221576075,0.1920403898616505
Coherent state,2.500058564141797,0.2504460181443364
Coherent state,2.600060906707394,0.1978341015625061
Coherent state,2.7000632492731156,0.2325378110628698
Coherent state,2.8000655918387127,0.20306101699260415
Coherent state,2.9000679344044347,0.20926700901353307
Coherent state,3.000070276970156,0.4165108233074919
Coherent state,3.1000726195357533,0.21333574750104245
Coherent state,3.2000749621014752,0.20630883551957938
Coherent state,3.300077304667072,0.22211705715091415
Coherent state,3.400079647232794,0.22728400586165184
Coherent state,3.500081989798516,0.23682221830113154
Coherent state,3.6000843323641125,0.2274748712991307
Coherent state,3.7000866749298345,0.23688805305148272
Coherent state,3.8000890174954316,0.23729421776144854
Coherent state,3.900091360061153,0.24608419357883765
Coherent state,4.00009370262675,0.260961645003337
Coherent state,4.100096045192472,0.250214207038375
Coherent state,4.200098387758194,0.26262423132400226
Coherent state,4.300100730323791,0.2601683714315763
Coherent state,4.400103072889513,0.289890263781936
Coherent state,4.50010541545511,0.2823310228367997
Coherent state,4.600107758020831,0.28770873153955906
Coherent state,4.7001101005864285,0.31410108256722713
Coherent state,4.80011244315215,0.30257199788734795
Coherent state,4.900114785717872,0.31780085664349345
Coherent state,5.000117128283469,0.3295968718253551
Coherent state,5.100119470849191,0.33660766845211365
Coherent state,5.200121813414788,0.3319084746493305
Coherent state,5.30012415598051,0.3597068110661379
Coherent state,5.400126498546107,0.3843034012657066
Coherent state,5.500128841111828,0.39069867748817017
Coherent state,5.60013118367755,0.4839362257251019
Coherent state,5.700133526243147,0.45283908863345673
Coherent state,5.800135868808869,0.4042326585914779
Coherent state,5.900138211374466,0.46781225609099364
Coherent state,6.000140553940188,0.28800832661036263
Coherent state,6.1001428965059095,0.7772037268085332
Coherent state,6.200145239071507,0.40487767188607937
Coherent state,6.300147581637228,1.0872566163862352
Coherent state,6.400149924202825,0.3288918805954167
Coherent state,6.500152266768547,0.5471073781272454
Coherent state,6.600154609334144,1.340214907016935
Coherent state,6.700156951899866,0.2864928522628975
Coherent state,6.800159294465588,0.8853637954190647
Coherent state,6.900161637031185,1.1856953659707663
Coherent state,7.000163979596906,1.0926720068508735
Coherent state,7.1001663221625035,1.0068373598829332
Coherent state,7.200168664728225,1.3476077170978655
Coherent state,7.300171007293822,1.38312406459179
Coherent state,7.400173349859544,1.3823480674002706
Coherent state,7.500175692425266,1.76788959436981
Coherent state,7.600178034990863,0.7863816404974273
Coherent state,7.700180377556585,1.6055672020761558
Coherent state,7.800182720122182,3.5735871039786162
Coherent state,7.900185062687903,3.016493588996362
Coherent state,8.000187405253625,17.87356141989426
Coherent state,8.100189747819222,0.6278108807514675
Coherent state,8.200192090384943,19.988873286047262
Coherent state,8.30019443295054,7.063093425373074
Coherent state,8.400196775516262,71.15193031819142
Coherent state,8.50019911808186,159.09489869380644
Coherent state,8.600201460647583,240.87851412070307
Coherent state,8.700203803213304,614.9758529019755
Coherent state,8.800206145778901,932.3356063275606
Coherent state,8.900208488344623,593.4414106201071
Coherent state,9.00021083091022,239.06023723805612
Coherent state,9.100213173475941,91.26107804352908
Coherent state,9.200215516041538,17.098879448811115
Coherent state,9.30021785860726,18.262060953318496
Coherent state,9.400220201172981,5.8094237215967395
Coherent state,9.500222543738579,5.651528109315659
Coherent state,9.6002248863043,11.944379153868661
Coherent state,9.700227228869897,2.081296379406924
Coherent state,9.800229571435619,2.055547478255031
Coherent state,9.90023191400134,2.664202443112994
Coherent state,10.000234256566937,5.354273596868847
Coherent state,10.10023659913266,8.546952344470418
Coherent state,10.200238941698256,3.767501135836848
Coherent state,10.30024128426398,9.623848647114354
Coherent state,10.400243626829576,3.1607310139258025
Coherent state,10.500245969395298,2.9975217784911696
Coherent state,10.60024831196102,13.928770734219297
Coherent state,10.700250654526617,3.6071791786851373
Coherent state,10.800252997092338,6.305339476979309
Coherent state,10.900255339657935,2.3240821937073615
Coherent state,11.000257682223657,0.44539522995223196
Coherent state,11.100260024789254,0.0615222798812166
Coherent state,11.200262367354975,1.0542532252011976
Coherent state,11.300264709920697,1.475850879753333
Coherent state,11.400267052486294,0.6022709401795078
Coherent state,11.500269395052015,0.10644095203003086
Coherent state,11.600271737617613,0.1835002368344211
Coherent state,11.700274080183334,0.5720311670730122
Coherent state,11.800276422749057,0.39624482719460485
Coherent state,11.900278765314654,0.20376402906381683
Coherent state,12.000281107880376,0.7794072253934383
Coherent state,12.100283450445973,1.6669404653329059
Coherent state,12.200285793011695,0.2982268244663613
Coherent state,12.300288135577292,0.17702847364187152
Coherent state,12.400290478143013,0.2342630954023404
Coherent state,12.500292820708735,7.379245310180479
Coherent state,12.600295163274332,0.6442734389845196
Coherent state,12.700297505840053,0.7847320688267916
Coherent state,12.80029984840565,1.7446808687859854
Coherent state,12.900302190971372,1.5744600032285638
Coherent state,13.00030453353697,0.7747614518871836
Coherent state,13.10030687610269,0.637249741329716
Coherent state,13.200309218668414,0.6907274097536763
Coherent state,13.30031156123401,0.606562931226497
Coherent state,13.400313903799733,0.1871590042053173
Coherent state,13.50031624636533,0.6399426158994566
Coherent state,13.600318588931051,0.7596282884039824
Coherent state,13.700320931496648,0.6594573276261919
Coherent state,13.80032327406237,0.16268791405335215
Coherent state,13.900325616628091,0.5246901620413746
Coherent state,14.000327959193688,1.115810273970463
Coherent state,14.10033030175941,0.04149292689637549
Coherent state,14.200332644325007,0.28685842825217206
Coherent state,14.300334986890729,0.08571750505338047
Coherent state,14.40033732945645,0.7204314461980909
Coherent state,14.500339672022047,0.8381443740543557
Coherent state,14.600342014587769,0.7321546930836149
Coherent state,14.700344357153366,0.6695088009310142
Coherent state,14.800346699719087,0.8245917361929318
Coherent state,14.900349042284684,0.306512402797732
Coherent state,15.000351384850408,0.542544388079318
Coherent state,15.10035372741613,0.17294525302946165
Coherent state,15.200356069981726,0.12757495564815874
Coherent state,15.300358412547448,2.8899926388619592
Coherent state,15.400360755113045,0.8971109841686419
Coherent state,15.500363097678767,1.0943093827533021
Coherent state,15.600365440244364,2.1369981758828436
Coherent state,15.700367782810085,0.23443117317145948
Coherent state,15.800370125375807,0.3471039576692196
Coherent state,15.900372467941404,0.17949909850353155
Coherent state,16.000374810507125,0.10635195971334711
Coherent state,16.100377153072724,5.3985870063643455
Coherent state,16.200379495638444,3.008217051671365
Coherent state,16.300381838204167,0.47781062459167517
Coherent state,16.400384180769763,0.8176156491175464
Coherent state,16.500386523335486,1.2254320749155536
Coherent state,16.60038886590108,0.36112385975775274
Coherent state,16.700391208466804,0.06514250824959726
Coherent state,16.8003935510324,0.3009312538272842
Coherent state,16.900395893598123,0.4850698587648629
Coherent state,17.000398236163843,0.1485720962979944
Coherent state,17.10040057872944,0.21742155474306943
Coherent state,17.200402921295165,1.5976703768007579
Coherent state,17.30040526386076,0.015647458028887184
Coherent state,17.400407606426484,0.14134774278812365
Coherent state,17.50040994899208,0.2974402136863527
Coherent state,17.600412291557802,0.0072123416684788146
Coherent state,17.700414634123522,0.33484128873639324
Coherent state,17.80041697668912,0.1774280204227752
Coherent state,17.90041931925484,0.5143455816439385
Coherent state,18.00042166182044,0.5707706378294927
Coherent state,18.10042400438616,1.0057725698034325
Coherent state,18.200426346951883,1.4723635671228372
Coherent state,18.300428689517478,0.6218229406460186
Coherent state,18.4004310320832,0.9631123847228578
Coherent state,18.500433374648797,1.958724812450736
Coherent state,18.60043571721452,1.1821680285136917
Coherent state,18.700438059780115,1.3535064630949567
Coherent state,18.80044040234584,0.8492116358008263
Coherent state,18.90044274491156,0.8107344674175934
Coherent state,19.000445087477157,0.5797070109257175
Coherent state,19.10044743004288,0.27929292319878746
Coherent state,19.200449772608476,1.4971634788614907
Coherent state,19.3004521151742,0.08847703584057738
Coherent state,19.400454457739794,0.05635887081181716
Coherent state,19.500456800305518,0.05600686900737134
Coherent state,19.600459142871237,0.6564347091542507
Coherent state,19.700461485436836,0.30840963242489927
Coherent state,19.800463828002556,0.030630292273690938
Coherent state,19.900466170568155,0.2486824169795655
Coherent state,20.000468513133875,0.18796015102274288
Coherent state,20.100470855699598,0.04592128213929775
Coherent state,20.200473198265193,0.2336111281136926
Coherent state,20.300475540830917,0.14017836963277244
Coherent state,20.400477883396512,0.40807302620893426
Coherent state,20.500480225962235,2.697406176728894
Coherent state,20.600482568527834,0.6992329972284111
Coherent state,20.700484911093554,0.18011284438988248
Coherent state,20.800487253659277,1.2274391134747447
Coherent state,20.900489596224872,0.2714474628483521
Coherent state,21.000491938790596,0.37413227814619326
Coherent state,21.10049428135619,0.17206241488564747
Coherent state,21.200496623921914,0.3899828468564267
Coherent state,21.30049896648751,0.15053922585105728
Coherent state,21.400501309053233,0.026661215838738296
Coherent state,21.500503651618953,0.0160579295293085
Coherent state,21.60050599418455,0.7812211698435397
Coherent state,21.70050833675027,0.1332293565137908
Coherent state,21.80051067931587,0.007706545318983628
Coherent state,21.90051302188159,0.08628449893685074
Coherent state,22.00051536444719,0.7357293666498549
Coherent state,22.100517707012912,0.012350063043738908
Coherent state,22.200520049578632,0.10135318852886852
Coherent state,22.30052239214423,0.10270995519202632
Coherent state,22.40052473470995,0.3469423986380547
Coherent state,22.50052707727555,0.30618051872698837
Coherent state,22.60052941984127,0.06811756409857643
Coherent state,22.700531762406992,0.010021942403850384
Coherent state,22.800534104972588,0.3919721582200299
Coherent state,22.90053644753831,0.024808803674042385
Coherent state,23.000538790103906,0.11917983855937231
Coherent state,23.10054113266963,0.10981949853928687
Coherent state,23.200543475235225,0.16026423171949536
Coherent state,23.30054581780095,0.050058414642043504
Coherent state,23.400548160366668,0.03425955485590576
Coherent state,23.500550502932267,0.00994901321777775
Coherent state,23.60055284549799,0.19709203515044058
Coherent state,23.700555188063586,0.03420048156202853
Coherent state,23.80055753062931,0.0006893294384334006
Coherent state,23.900559873194904,0.006176565351203563
Coherent state,24.000562215760628,0.3169328024728693
Coherent state,24.100564558326347,0.0036414857370167526
Coherent state,24.200566900891946,0.05485399911416009
Coherent state,24.300569243457666,0.014809487900504643
Coherent state,24.400571586023265,0.05666246717202659
Coherent state,24.500573928588985,0.01557861676343861
Coherent state,24.600576271154708,0.005266802855291512
Coherent state,24.700578613720303,0.016319778154671973
Coherent state,24.800580956286026,0.06576977788875189
Coherent state,24.900583298851622,0.007722464139841312
Coherent state,25.000585641417345,0.02438228766655273
Coherent state,25.10058798398294,0.054513722234578114
Coherent state,25.200590326548664,0.03746808746045183
Coherent state,25.300592669114387,0.006327033769678868
