driver_state,harmonic_order,nearest_harmonic_order,mean_intensity,raw_intensity,local_background_intensity,normalized_intensity,raw_normalized_intensity,local_background_normalized_intensity,display_intensity,display_offset,in_peak_window,peak_window_half_width,background_inner_width,background_outer_width,display_min_normalized,mean_cutoff_order,normalized_intensity_cv,spectrum_model,frequency_grid,raw_frequency_grid,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism,processing
coherent,5.519845827670969,5.0,0.00011671518956827263,0.0004957139729393357,0.0003789987833710631,1.423438296703321e-06,6.04564201028909e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.559844710480179,5.0,0.0,0.0002101230240179806,0.0003789987833710631,0.0,2.562624115272915e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.599843593289389,5.0,0.000491960853046592,0.000870959636417655,0.0003789987833710631,5.999869608194627e-06,1.0622073321780396e-05,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.639842476098599,5.0,4.160477088467466e-05,0.00042060355425573774,0.0003789987833710631,5.074046010795487e-07,5.1296083146653176e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.679841358907809,5.0,0.00020082652825989934,0.0005798253116309624,0.0003789987833710631,2.449245658397325e-06,7.071449371983094e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.7198402417170175,5.0,0.00020929515841975677,0.0005882939417908199,0.0003789987833710631,2.552527609399139e-06,7.174731322984908e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.759839124526229,5.0,0.0,0.0003110686613225387,0.0003789987833710631,0.0,3.793739675774831e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.799838007335437,5.0,0.0,0.0003373940124863884,0.0003789987833710631,0.0,4.114799112506221e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.839836890144649,5.0,0.0,0.0001864400508627654,0.0003789987833710631,0.0,2.2737906644287937e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
coherent,5.879835772953858,5.0,0.0,0.0003290998770349338,0.0003789987833710631,0.0,4.013645268835007e-06,4.622203713585769e-06,nan,1.0,False,0.35,0.55,0.95,0.001,29.30730427175973,0.14006282952053878,tdse_dipole_acceleration,background_subtracted_raw_peak_window_grid,raw_fft_harmonic_order_grid,11,0.00010221851426811915,0.25554717819727235,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration,raw_peak_window_minus_local_background
