driver_state,harmonic_order,mean_intensity,std_intensity,normalized_intensity,display_intensity,display_offset,mean_cutoff_order,normalized_intensity_cv,spectrum_model,tdse_amplitude_bin_count,tdse_library_field_amplitude_min_au,tdse_library_field_amplitude_max_au,claim_level,mechanism
coherent,1.0,0.6413253842017014,1.0289983783883783,0.18182759290269374,0.18182759290269374,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,3.0,0.5123994190931992,0.23557503340184638,0.14527470029028647,0.14527470029028647,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,5.0,0.28794142341905726,0.13620762006618709,0.08163671235691533,0.08163671235691533,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,7.0,1.6503181657822192,1.124822247840958,0.4678956844680179,0.4678956844680179,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,9.0,3.5271070466456154,4.771864484312213,1.0,1.0,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,11.0,2.0515471832485006,2.288167285697852,0.5816515223714527,0.5816515223714527,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,13.0,1.0473553528864217,1.1736617890151477,0.29694458915912064,0.29694458915912064,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,15.0,0.24348075606149824,0.44787242913507236,0.06903129188921435,0.06903129188921435,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,17.0,0.9491771236094453,0.6933227644147297,0.26910924762324445,0.26910924762324445,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,19.0,0.9522832086169988,1.0235479525423126,0.2699898800980959,0.2699898800980959,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,21.0,0.8372613904635053,1.8505379634596852,0.23737906998308034,0.23737906998308034,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,23.0,0.6776683626003732,0.3163534162872235,0.19213149860162484,0.19213149860162484,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,25.0,0.5386948996991796,0.7711006893294498,0.1527299547688791,0.1527299547688791,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,27.0,1.5042652051852463,1.1729250692571311,0.4264869722669312,0.4264869722669312,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,29.0,0.18368985724028236,0.14621806620657257,0.05207946762346692,0.05207946762346692,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,31.0,0.6629089090973923,0.8211763465131664,0.18794692089876847,0.18794692089876847,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,33.0,0.3524584309507013,0.42114454495183284,0.09992847574215244,0.09992847574215244,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,35.0,0.38219810081691336,0.2773669121179789,0.10836022149664984,0.10836022149664984,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,37.0,0.3709061520671192,0.3364893834456263,0.10515874544263182,0.10515874544263182,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,39.0,0.41017043090803446,0.21412802367921704,0.11629089377883181,0.11629089377883181,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,41.0,0.6486845038023746,0.3131004037339572,0.18391403924621258,0.18391403924621258,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,43.0,0.7011423769417318,0.46845437523606653,0.19878681527642866,0.19878681527642866,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,45.0,1.069163802809425,0.9227013898788009,0.3031276875552251,0.3031276875552251,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,47.0,0.4352221857494588,0.4551835306410532,0.12339352902922755,0.12339352902922755,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,49.0,0.2364178299569778,0.37138757230712,0.06702882187310369,0.06702882187310369,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,51.0,0.13626250690184707,0.3965186834039611,0.038632937730494116,0.038632937730494116,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,53.0,0.20085737299453757,0.5253968820775896,0.0569467754559814,0.0569467754559814,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,55.0,0.050629583164804724,0.11435066998660783,0.014354422050488935,0.014354422050488935,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,57.0,0.011900270453650866,0.018291764318146206,0.0033739464939030925,0.0033739464939030925,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,59.0,0.03167902683569616,0.0668905470427532,0.008981589278903192,0.008981589278903192,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,61.0,0.030417350311642666,0.032941511709792766,0.008623880678804596,0.008623880678804596,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,63.0,0.041907532769946965,0.03470020066422357,0.011881559650933272,0.011881559650933272,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,65.0,0.06410081516551873,0.0870231137791105,0.018173765161587745,0.018173765161587745,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,67.0,0.03210065238547162,0.014839508268439848,0.009101127910478448,0.009101127910478448,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,69.0,0.023786683239900235,0.042253597554669745,0.006743964083120778,0.006743964083120778,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,71.0,0.02492161329285396,0.015369433151866976,0.0070657377174177805,0.0070657377174177805,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,73.0,0.01565977282769875,0.015761253358659324,0.004439834861998776,0.004439834861998776,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,75.0,0.010374221529783898,0.006460431164085396,0.002941283435003793,0.002941283435003793,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,77.0,0.029648738021180794,0.06958394994068862,0.008405964896749486,0.008405964896749486,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,79.0,0.007713754620930354,0.015695230700907288,0.002186991922535032,0.002186991922535032,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,81.0,0.009259452127284911,0.02308730161054276,0.0026252257175156985,0.0026252257175156985,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,83.0,0.00600067246739925,0.005240442759094419,0.0017013014881717495,0.0017013014881717495,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,85.0,0.017479960630506334,0.04953712006639986,0.00495589172637397,0.00495589172637397,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,87.0,0.0028219361178380576,0.004096482015919852,0.0008000710158547084,0.0008000710158547084,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,89.0,0.014090576069915426,0.030779915075089433,0.00399493859516285,0.00399493859516285,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,91.0,0.00951426106898635,0.009081714927144392,0.0026974687592866502,0.0026974687592866502,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,93.0,0.014110406440504762,0.02045097424988258,0.004000560871529029,0.004000560871529029,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,95.0,0.014681844965214099,0.01227949746668734,0.004162574248824394,0.004162574248824394,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,97.0,0.010696075484625148,0.014001373493373423,0.0030325349764468977,0.0030325349764468977,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,99.0,0.019061537249846734,0.0145495616664246,0.005404297912640567,0.005404297912640567,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,101.0,0.013121590594853808,0.013029156233898522,0.0037202133140055486,0.0037202133140055486,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,103.0,0.01307667025235817,0.00987960855027161,0.003707477567145141,0.003707477567145141,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,105.0,0.013648172081550178,0.01233591520917112,0.003869508892430696,0.003869508892430696,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,107.0,0.002916968330504976,0.0021810304047478707,0.0008270144035688116,0.0008270144035688116,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,109.0,0.00472525020165568,0.006046141270596885,0.001339695716394413,0.001339695716394413,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,111.0,0.004254476362706695,0.001966834303933333,0.0012062226369774713,0.0012062226369774713,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,113.0,0.005658830750331309,0.007877756251570922,0.001604383046925958,0.001604383046925958,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
coherent,115.0,0.011024681933753907,0.013191082211539393,0.0031257009747517332,0.0031257009747517332,1.0,41.28939862737793,0.14006282952053878,tdse_dipole_acceleration,9,0.00013629135235749222,0.34072957092969647,hhg_intensity_prediction,quantum_light_hhg_tdse_dipole_acceleration
